nohup: ignoring input
Creating Random Inputs
Starting simulations for sample size: 1000
Simulating:  13%|█▎        | 130/1000 [2:11:48<14:47:44, 61.22s/it]Run 131/1000: keff=1.15715 ± 0.00074 | CR=209/248 | Run Time=60.714494943618774
Simulating:  13%|█▎        | 131/1000 [2:12:49<14:44:30, 61.07s/it]Run 132/1000: keff=1.11820 ± 0.00086 | CR=132/248 | Run Time=62.176421880722046
Simulating:  13%|█▎        | 132/1000 [2:13:51<14:48:17, 61.40s/it]Run 133/1000: keff=1.02829 ± 0.00083 | CR=179/248 | Run Time=61.75085115432739
Simulating:  13%|█▎        | 133/1000 [2:14:53<14:48:46, 61.51s/it]Run 134/1000: keff=0.93153 ± 0.00078 | CR=60/248 | Run Time=61.79216289520264
Simulating:  13%|█▎        | 134/1000 [2:15:55<14:48:59, 61.59s/it]Run 135/1000: keff=0.98459 ± 0.00079 | CR=3/248 | Run Time=61.257160663604736
Simulating:  14%|█▎        | 135/1000 [2:16:56<14:46:30, 61.49s/it]Run 136/1000: keff=1.11215 ± 0.00069 | CR=197/248 | Run Time=62.12483048439026
Simulating:  14%|█▎        | 136/1000 [2:17:58<14:48:13, 61.68s/it]Run 137/1000: keff=1.17288 ± 0.00084 | CR=198/248 | Run Time=60.2755389213562
Simulating:  14%|█▎        | 137/1000 [2:18:58<14:41:07, 61.26s/it]Run 138/1000: keff=0.93996 ± 0.00082 | CR=36/248 | Run Time=58.94462561607361
Simulating:  14%|█▍        | 138/1000 [2:19:57<14:30:07, 60.57s/it]Run 139/1000: keff=0.92467 ± 0.00072 | CR=38/248 | Run Time=61.87104845046997
Simulating:  14%|█▍        | 139/1000 [2:20:59<14:34:44, 60.96s/it]Run 140/1000: keff=1.10818 ± 0.00068 | CR=156/248 | Run Time=59.91103386878967
Simulating:  14%|█▍        | 140/1000 [2:21:59<14:29:13, 60.64s/it]Run 141/1000: keff=1.14415 ± 0.00081 | CR=171/248 | Run Time=64.07498288154602
Simulating:  14%|█▍        | 141/1000 [2:23:03<14:42:57, 61.67s/it]Run 142/1000: keff=0.98450 ± 0.00074 | CR=127/248 | Run Time=60.592071294784546
Simulating:  14%|█▍        | 142/1000 [2:24:04<14:37:17, 61.35s/it]Run 143/1000: keff=1.11995 ± 0.00084 | CR=229/248 | Run Time=63.828423500061035
Simulating:  14%|█▍        | 143/1000 [2:25:07<14:46:53, 62.09s/it]Run 144/1000: keff=1.04799 ± 0.00076 | CR=237/248 | Run Time=61.60623645782471
Simulating:  14%|█▍        | 144/1000 [2:26:09<14:43:46, 61.95s/it]Run 145/1000: keff=1.04607 ± 0.00076 | CR=160/248 | Run Time=61.758354902267456
Simulating:  14%|█▍        | 145/1000 [2:27:11<14:41:56, 61.89s/it]Run 146/1000: keff=1.10629 ± 0.00076 | CR=193/248 | Run Time=59.58059072494507
Simulating:  15%|█▍        | 146/1000 [2:28:10<14:31:02, 61.20s/it]Run 147/1000: keff=0.99762 ± 0.00073 | CR=135/248 | Run Time=59.518120765686035
Simulating:  15%|█▍        | 147/1000 [2:29:10<14:22:52, 60.69s/it]Run 148/1000: keff=0.94647 ± 0.00070 | CR=42/248 | Run Time=62.845335245132446
Simulating:  15%|█▍        | 148/1000 [2:30:13<14:31:01, 61.34s/it]Run 149/1000: keff=0.87166 ± 0.00074 | CR=29/248 | Run Time=61.748170614242554
